schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,rc1_dataorg_2ep_1.5b_cacheON,formal,2,1122,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,0,1785498449.919422,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,46196.0,49128.0,146.63,ok,0,0,0.0
1,rc1_dataorg_2ep_1.5b_cacheON,formal,2,1122,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,1,1785498450.2999642,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,46196.0,49128.0,144.24,ok,0,0,0.0
1,rc1_dataorg_2ep_1.5b_cacheON,formal,2,1122,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,2,1785498450.6363137,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,46196.0,49128.0,142.70999999999998,ok,0,0,0.0
1,rc1_dataorg_2ep_1.5b_cacheON,formal,2,1122,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,3,1785498450.951804,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,46196.0,49128.0,140.64,ok,0,0,0.0
1,rc1_dataorg_2ep_1.5b_cacheON,formal,2,1122,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,4,1785498451.316914,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,46196.0,49128.0,140.64,ok,0,0,0.0
1,rc1_dataorg_2ep_1.5b_cacheON,formal,2,1122,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,5,1785498451.6484902,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,46196.0,49128.0,139.15,ok,0,0,0.0
1,rc1_dataorg_2ep_1.5b_cacheON,formal,2,1122,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,6,1785498451.9772666,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,46196.0,49128.0,137.2,ok,0,0,0.0
1,rc1_dataorg_2ep_1.5b_cacheON,formal,2,1122,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,7,1785498452.3305776,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,46196.0,49128.0,137.2,ok,0,0,0.0
1,rc1_dataorg_2ep_1.5b_cacheON,formal,2,1122,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,8,1785498452.6995008,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,46196.0,49128.0,136.11,ok,0,0,0.0
1,rc1_dataorg_2ep_1.5b_cacheON,formal,2,1122,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,9,1785498453.1781685,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,46196.0,49128.0,133.42000000000002,ok,0,0,0.0
1,rc1_dataorg_2ep_1.5b_cacheON,formal,2,1122,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,10,1785498453.546426,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,94.5,46196.0,49128.0,192.26,ok,481,30,0.03591617933723201
1,rc1_dataorg_2ep_1.5b_cacheON,formal,2,1122,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,11,1785498453.917071,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,100.0,46196.0,49128.0,348.51,ok,469,25,0.0482943469785575
1,rc1_dataorg_2ep_1.5b_cacheON,formal,2,1122,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,12,1785498454.252593,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,100.0,46196.0,49128.0,538.99,ok,468,23,0.060453216374269036
1,rc1_dataorg_2ep_1.5b_cacheON,formal,2,1122,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,13,1785498454.6120808,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,100.0,46196.0,49128.0,832.56,ok,460,13,0.07044346978557503
1,rc1_dataorg_2ep_1.5b_cacheON,formal,2,1122,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,14,1785498454.974973,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,100.0,46196.0,49128.0,831.17,ok,451,7,0.07884990253411306
