doc_id,endpoint_index,status,error,submitted_at_s,started_at_s,completed_at_s,input_tokens,output_tokens,output_text,finish_reason
60000001,1,completed,,1785991338.3225398,1785991338.3225563,1785991338.4764342,239,4,Carolina Panthers,stop
60000004,1,completed,,1785991338.3280602,1785991338.3280692,1785991338.4761784,243,2,gold,stop
60000005,1,completed,,1785991338.3284469,1785991338.3284504,1785991338.4953334,237,3,golden anniversary,stop
60000007,1,completed,,1785991338.3287127,1785991338.3287158,1785991338.5132744,233,4,American Football Conference,stop
60000009,1,completed,,1785991338.3289375,1785991338.3289406,1785991338.5137033,232,4,American Football Conference,stop
60000010,1,completed,,1785991338.3291545,1785991338.3291578,1785991338.5149918,235,4,February 7,stop
60000011,1,completed,,1785991338.3293684,1785991338.3293712,1785991338.4941266,234,3,Denver Broncos,stop
60000012,1,completed,,1785991338.3295612,1785991338.329564,1785991338.522323,238,5,Levi's Stadium,stop
60000013,1,completed,,1785991338.3297575,1785991338.32976,1785991338.4751275,238,3,Santa Clara,stop
60000014,1,completed,,1785991338.3300366,1785991338.3300395,1785991338.4950624,244,4,Super Bowl L,stop
60000015,1,completed,,1785991338.330253,1785991338.3302555,1785991338.5144396,239,5,2015,stop
60000016,1,completed,,1785991338.3304589,1785991338.3304617,1785991338.5099456,242,5,2015,stop
60000017,1,completed,,1785991338.3306725,1785991338.3306792,1785991338.4747891,238,3,Santa Clara,stop
60000019,1,completed,,1785991338.330872,1785991338.330875,1785991338.5220315,239,6,24-10,stop
60000021,1,completed,,1785991338.3310769,1785991338.3310795,1785991338.5134876,235,5,2016,stop
60000022,1,completed,,1785991338.3312745,1785991338.3312774,1785991338.4753091,233,3,Denver Broncos,stop
60000024,1,completed,,1785991338.3314962,1785991338.331512,1785991338.4757197,234,3,Denver Broncos,stop
60000025,1,completed,,1785991338.331727,1785991338.33173,1785991338.5147085,239,5,2015,stop
60000026,1,completed,,1785991338.3319368,1785991338.3319392,1785991338.4710426,235,3,Denver Broncos,stop
60000028,1,completed,,1785991338.3321972,1785991338.3321996,1785991338.4749572,235,3,Super Bowl,stop
60000029,1,completed,,1785991338.332397,1785991338.3323994,1785991338.47594,239,3,Denver Broncos,stop
60000032,1,completed,,1785991338.3325987,1785991338.3326032,1785991338.5141833,203,5,1995,stop
60000034,1,completed,,1785991338.3328052,1785991338.3328078,1785991338.494569,206,4,New England Patriots,stop
60000035,1,completed,,1785991338.333003,1785991338.3330054,1785991338.4811246,205,3,Arizona Cardinals,stop
60000037,1,completed,,1785991338.333212,1785991338.3332145,1785991338.4956274,202,4,New England Patriots,stop
60000042,1,completed,,1785991338.3334155,1785991338.3334181,1785991338.5139396,217,5,12–4,stop
60000043,1,completed,,1785991338.3336246,1785991338.3336275,1785991338.4576492,206,2,4,stop
60000045,1,completed,,1785991338.3338416,1785991338.3338463,1785991338.475509,202,3,Cam Newton,stop
60000046,1,completed,,1785991338.3340557,1785991338.3340583,1785991338.481434,204,3,Arizona Cardinals,stop
60000051,1,completed,,1785991338.3343318,1785991338.3343341,1785991338.4939106,211,3,Arizona Cardinals,stop
60000052,1,completed,,1785991338.3345473,1785991338.3345518,1785991338.494342,205,3,Cam Newton,stop
60000053,1,completed,,1785991338.3347611,1785991338.3347638,1785991338.4948084,205,3,Arizona Cardinals,stop
60000055,1,completed,,1785991338.334966,1785991338.4576926,1785991338.5618656,137,4,Von Miller,stop
60000057,1,completed,,1785991338.3349807,1785991338.4742823,1785991338.5821145,138,3,Broncos,stop
60000061,1,completed,,1785991338.3349874,1785991338.477156,1785991338.5635412,135,2,seven,stop
60000062,1,completed,,1785991338.3349912,1785991338.4776227,1785991338.6073236,134,4,Von Miller,stop
60000063,1,completed,,1785991338.3349938,1785991338.4780552,1785991338.5825024,135,2,three,stop
60000064,1,completed,,1785991338.334997,1785991338.4784832,1785991338.561583,136,2,2,stop
60000065,1,completed,,1785991338.3349996,1785991338.4788902,1785991338.6065698,142,4,Von Miller,stop
60000066,1,completed,,1785991338.3350022,1785991338.4792843,1785991338.6069205,138,4,linebacker,stop
60000068,1,completed,,1785991338.3350046,1785991338.4796858,1785991338.5633557,145,2,two,stop
60000069,1,completed,,1785991338.3350072,1785991338.4800727,1785991338.6032066,136,4,Von Miller,stop
60000072,1,completed,,1785991338.3350098,1785991338.4804573,1785991338.606407,139,2,3,stop
60000073,1,completed,,1785991338.3350163,1785991338.4816127,1785991338.6075604,137,3,fumble,stop
60000074,1,completed,,1785991338.3350232,1785991338.482077,1785991338.6388283,141,4,Von Miller,stop
60000076,1,completed,,1785991338.3350253,1785991338.496077,1785991338.5839598,137,2,seven,stop
60000077,1,completed,,1785991338.335028,1785991338.496572,1785991338.6078,139,2,3,stop
60000081,1,completed,,1785991338.3350306,1785991338.497013,1785991338.6196985,164,4,$5 million,stop
60000082,1,completed,,1785991338.3350332,1785991338.497442,1785991338.6071155,158,3,Coldplay,stop
60000084,1,completed,,1785991338.3350356,1785991338.497876,1785991338.65734,157,6,Super Bowl XLVIII,stop
60000086,1,completed,,1785991338.3350382,1785991338.4983017,1785991338.6375735,158,4,$5 million,stop
60000087,1,completed,,1785991338.3350408,1785991338.4987228,1785991338.6198761,157,4,Bruno Mars,stop
60000088,1,completed,,1785991338.3350453,1785991338.4991345,1785991338.6571426,157,4,Bruno Mars,stop
60000090,1,completed,,1785991338.335048,1785991338.5126896,1785991338.60674,159,2,CBS,stop
60000091,1,completed,,1785991338.3350506,1785991338.5154524,1785991338.6540797,166,4,$5 million,stop
60000092,1,completed,,1785991338.3350527,1785991338.515944,1785991338.6569624,163,4,Bruno Mars,stop
60000094,1,completed,,1785991338.3350556,1785991338.5164003,1785991338.6080577,152,2,CBS,stop
60000101,1,completed,,1785991338.3350582,1785991338.5168426,1785991338.6976478,155,6,Super Bowl XLVIII,stop
60000102,1,completed,,1785991338.335061,1785991338.517288,1785991338.656796,155,4,$5 million,stop
60000103,1,completed,,1785991338.3350635,1785991338.517729,1785991338.6200595,156,3,Coldplay,stop
60000104,1,completed,,1785991338.335066,1785991338.5181594,1785991338.7156615,161,7,Beyoncé and Bruno Mars,stop
60000107,1,completed,,1785991338.3350704,1785991338.5185814,1785991338.7002578,110,6,50th Super Bowl,stop
60000110,1,completed,,1785991338.335073,1785991338.5229967,1785991338.7158265,114,8,In early 2012,stop
60000113,1,completed,,1785991338.3350759,1785991338.5234768,1785991338.6390011,108,4,Roger Goodell,stop
60000114,1,completed,,1785991338.33508,1785991338.5625417,1785991338.6757133,121,4,an important game,stop
60000115,1,completed,,1785991338.3350844,1785991338.562903,1785991338.6566348,121,3,spectacular,stop
60000118,1,completed,,1785991338.335087,1785991338.5635881,1785991338.7161791,105,6,Miami's Sun Life Stadium,stop
60000119,1,completed,,1785991338.3350897,1785991338.563932,1785991338.6974974,105,5,Levi's Stadium,stop
60000121,1,completed,,1785991338.3350923,1785991338.5831358,1785991338.7133307,101,5,Levi's Stadium,stop
60000124,1,completed,,1785991338.335095,1785991338.583503,1785991338.7000566,109,4,Sun Life Stadium,stop
60000127,1,completed,,1785991338.3350978,1785991338.5840132,1785991338.6758661,107,3,New Orleans,stop
60000128,1,completed,,1785991338.3351023,1785991338.605913,1785991338.7373192,103,4,Sun Life Stadium,stop
60000130,1,completed,,1785991338.3351047,1785991338.6081033,1785991338.7526953,103,5,Levi's Stadium,stop
60000132,1,completed,,1785991338.3351073,1785991338.6085742,1785991338.7965004,103,7,Mercedes-Benz Superdome,stop
60000134,1,completed,,1785991338.33511,1785991338.6090038,1785991338.8655257,223,11,"October 16, 2012",stop
60000137,1,completed,,1785991338.3351123,1785991338.609417,1785991338.7528734,225,5,2010,stop
60000145,1,completed,,1785991338.335115,1785991338.6098192,1785991338.7523644,226,5,Super Bowl XLIV,stop
60000146,1,completed,,1785991338.3351176,1785991338.610213,1785991338.6998699,237,2,2,stop
60000150,1,completed,,1785991338.3351204,1785991338.610605,1785991338.8863106,225,11,"October 16, 2012",stop
60000151,1,completed,,1785991338.3351247,1785991338.6109934,1785991338.6996903,224,2,0,stop
60000152,1,completed,,1785991338.3351274,1785991338.6113923,1785991338.7159948,221,3,New Orleans,stop
60000153,1,completed,,1785991338.3351302,1785991338.6203852,1785991338.777672,221,5,1985,stop
60000158,1,completed,,1785991338.3351326,1785991338.6207767,1785991338.7967565,158,6,$1.2 billion,stop
60000159,1,completed,,1785991338.3351352,1785991338.6211407,1785991338.737545,156,3,San Diego,stop
60000164,1,completed,,1785991338.3351378,1785991338.638326,1785991338.734264,159,3,San Diego,stop
60000165,1,completed,,1785991338.3351424,1785991338.6390471,1785991338.7778373,164,5,2013,stop
60000167,1,completed,,1785991338.3351474,1785991338.6394093,1785991338.7902846,165,6,$1.2 billion,stop
60000168,1,completed,,1785991338.33515,1785991338.6561608,1785991338.7952468,170,5,1985,stop
60000171,1,completed,,1785991338.3351524,1785991338.6573846,1785991338.7970297,154,5,2014,stop
60000172,1,completed,,1785991338.3351552,1785991338.6577737,1785991338.7976208,156,5,2003,stop
60000177,1,completed,,1785991338.3351579,1785991338.658146,1785991338.7958252,158,5,2013,stop
60000178,1,completed,,1785991338.3351603,1785991338.6584976,1785991338.7764714,221,3,John Fox,stop
60000179,1,completed,,1785991338.3351626,1785991338.6588423,1785991338.749296,210,3,10,stop
60000180,1,completed,,1785991338.335165,1785991338.675891,1785991338.7525296,212,2,six,stop
60000181,1,completed,,1785991338.3351674,1785991338.6762516,1785991338.7954373,214,4,Carolina Panthers,stop
60000184,1,completed,,1785991338.33517,1785991338.6988335,1785991338.795627,222,2,4,stop
60000187,1,completed,,1785991338.3351724,1785991338.699208,1785991338.7973154,212,2,six,stop
60000188,1,completed,,1785991338.3351767,1785991338.7003055,1785991338.8155828,204,3,number one,stop
60000189,1,completed,,1785991338.3351793,1785991338.7006943,1785991338.815383,204,3,number one,stop
60000190,1,completed,,1785991338.3351834,1785991338.7010486,1785991338.8651917,212,6,Super Bowl XLVIII,stop
60000191,1,completed,,1785991338.335186,1785991338.7014024,1785991338.8657048,213,6,Super Bowl XXXVIII,stop
60000192,1,completed,,1785991338.3351882,1785991338.7150705,1785991338.7905638,214,2,six,stop
60000193,1,completed,,1785991338.3351905,1785991338.7162232,1785991338.796259,215,2,1,stop
60000194,1,completed,,1785991338.3351932,1785991338.7166116,1785991338.7960355,216,2,4,stop
60000195,1,completed,,1785991338.3351953,1785991338.716967,1785991338.8151803,221,3,John Fox,stop
60000196,1,completed,,1785991338.3351977,1785991338.7173057,1785991338.84622,261,5,DeAngelo Williams,stop
60000197,1,completed,,1785991338.3352003,1785991338.736063,1785991338.865356,266,4,Kelvin Benjamin,stop
60000198,1,completed,,1785991338.3352025,1785991338.7375903,1785991338.8265393,273,2,7,stop
60000199,1,completed,,1785991338.335207,1785991338.7379386,1785991338.8884454,268,5,1978,stop
60000201,1,completed,,1785991338.3352094,1785991338.7516606,1785991338.8440924,261,3,10,stop
60000202,1,completed,,1785991338.3352118,1785991338.7529185,1785991338.8274016,260,2,8,stop
60000203,1,completed,,1785991338.3352144,1785991338.7532985,1785991338.8616178,261,4,Kelvin Benjamin,stop
60000205,1,completed,,1785991338.3352165,1785991338.7536492,1785991338.8886275,267,5,2009,stop
60000209,1,completed,,1785991338.3352191,1785991338.7539856,1785991338.8864622,260,5,DeAngelo Williams,stop
60000210,1,completed,,1785991338.3352218,1785991338.7771692,1785991338.9252212,264,5,1978,stop
60000214,1,completed,,1785991338.335228,1785991338.7778828,1785991338.9060137,263,4,Carolina Panthers,stop
60000215,1,completed,,1785991338.335233,1785991338.778236,1785991338.8882678,270,3,10,stop
60000218,1,completed,,1785991338.3352356,1785991338.7943985,1785991338.9036634,386,3,10,stop
60000221,1,completed,,1785991338.335238,1785991338.7947812,1785991338.9250653,391,3,45,stop
60000222,1,completed,,1785991338.3352406,1785991338.797669,1785991338.9675863,389,5,99.4,stop
60000223,1,completed,,1785991338.335243,1785991338.7981937,1785991338.9277318,389,3,77,stop
60000225,1,completed,,1785991338.3352456,1785991338.7986848,1785991338.928105,401,3,Jonathan Stewart,stop
60000226,1,completed,,1785991338.3352478,1785991338.7991588,1785991338.9058366,394,2,6,stop
60000227,1,completed,,1785991338.3352501,1785991338.7996266,1785991338.927554,387,3,Cam Newton,stop
60000228,1,completed,,1785991338.3352528,1785991338.800078,1785991338.967411,392,5,3837,stop
60000230,1,completed,,1785991338.3352554,1785991338.8005223,1785991338.905508,391,2,6,stop
60000231,1,completed,,1785991338.3352578,1785991338.8009748,1785991338.9470444,392,4,500,stop
60000232,1,completed,,1785991338.3352602,1785991338.8014283,1785991338.965953,395,5,3837,stop
60000233,1,completed,,1785991338.3352778,1785991338.8018706,1785991338.9279127,393,3,10,stop
60000235,1,completed,,1785991338.3352828,1785991338.8023071,1785991338.928317,396,3,39,stop
60000236,1,completed,,1785991338.3352852,1785991338.8159401,1785991338.947276,322,4,308,stop
60000239,1,completed,,1785991338.3352878,1785991338.8163612,1785991338.9056706,321,2,4,stop
60000240,1,completed,,1785991338.3352904,1785991338.8167372,1785991338.9872327,324,5,Kawann Short,stop
60000242,1,completed,,1785991338.335295,1785991338.826902,1785991338.9864798,320,5,Kawann Short,stop
60000245,1,completed,,1785991338.3352976,1785991338.8274496,1785991338.9657884,323,4,Kurt Coleman,stop
60000247,1,completed,,1785991338.3353004,1785991338.845007,1785991338.9863136,326,5,Kony Ealy,stop
60000248,1,completed,,1785991338.3353596,1785991338.8463492,1785991338.945455,327,3,Thomas Davis,stop
60000257,1,completed,,1785991338.335362,1785991338.8646777,1785991338.986833,499,4,Indianapolis Colts,stop
60000260,1,completed,,1785991338.3353646,1785991338.8657498,1785991339.0058866,503,5,Gary Kubiak,stop
60000261,1,completed,,1785991338.3353672,1785991338.8661456,1785991339.0246897,502,5,Peyton Manning,stop
60000262,1,completed,,1785991338.3353698,1785991338.8665073,1785991339.0429344,500,6,plantar fasciitis,stop
60000263,1,completed,,1785991338.3353722,1785991338.866852,1785991338.9866498,504,3,39,stop
60000264,1,completed,,1785991338.3353748,1785991338.8874002,1785991338.9870257,505,2,4,stop
60000268,1,completed,,1785991338.3353848,1785991338.887792,1785991338.987711,503,2,left,stop
60000272,1,completed,,1785991338.3353882,1785991338.888675,1785991339.0462492,315,5,Demaryius Thomas,stop
60000273,1,completed,,1785991338.3353915,1785991338.889038,1785991339.065079,316,6,C. J. Anderson,stop
60000275,1,completed,,1785991338.3353949,1785991338.8893747,1785991339.0433302,324,5,67.9,stop
60000277,1,completed,,1785991338.3353977,1785991338.905019,1785991339.004503,325,3,17,stop
60000279,1,completed,,1785991338.3354008,1785991338.906059,1785991338.9874682,315,2,receiver,stop
60000281,1,completed,,1785991338.3354037,1785991338.90644,1785991339.0057278,321,3,17,stop
60000283,1,completed,,1785991338.3354092,1785991338.9067943,1785991338.9833224,315,2,5,stop
60000287,1,completed,,1785991338.335415,1785991338.907126,1785991339.0828733,323,6,C. J. Anderson,stop
