schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,interference_bulk_k8_background_r3,formal,1,1211,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1785078666.328474,snapshot,NVIDIA GeForce RTX 5070,3,10199,12227,42.55,ok,0,0,0.0
1,interference_bulk_k8_background_r3,formal,1,1211,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1785078666.714915,snapshot,NVIDIA GeForce RTX 5070,4,10199,12227,42.37,ok,0,0,0.0
1,interference_bulk_k8_background_r3,formal,1,1211,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1785078667.05969,snapshot,NVIDIA GeForce RTX 5070,4,10188,12227,42.37,ok,0,0,0.0
1,interference_bulk_k8_background_r3,formal,1,1211,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1785078667.396987,snapshot,NVIDIA GeForce RTX 5070,4,10190,12227,42.33,ok,0,0,0.0
1,interference_bulk_k8_background_r3,formal,1,1211,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1785078667.755883,snapshot,NVIDIA GeForce RTX 5070,2,10185,12227,42.30,ok,0,0,0.0
1,interference_bulk_k8_background_r3,formal,1,1211,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1785078668.1143062,snapshot,NVIDIA GeForce RTX 5070,2,10185,12227,42.07,ok,0,0,0.0
1,interference_bulk_k8_background_r3,formal,1,1211,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1785078668.449898,snapshot,NVIDIA GeForce RTX 5070,2,10185,12227,42.07,ok,0,0,0.0
1,interference_bulk_k8_background_r3,formal,1,1211,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1785078668.8061326,snapshot,NVIDIA GeForce RTX 5070,2,10193,12227,41.95,ok,0,0,0.0
1,interference_bulk_k8_background_r3,formal,1,1211,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1785078669.1500163,snapshot,NVIDIA GeForce RTX 5070,2,10193,12227,42.17,ok,0,0,0.0
1,interference_bulk_k8_background_r3,formal,1,1211,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1785078669.4900331,snapshot,NVIDIA GeForce RTX 5070,2,10193,12227,42.17,ok,0,0,0.0
1,interference_bulk_k8_background_r3,formal,1,1211,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,10,1785078669.827561,snapshot,NVIDIA GeForce RTX 5070,5,10193,12227,42.39,ok,0,0,0.0
