arm,metric,n,mean,sample_stddev,min,max
eager,e2e_s,3,282.756141000,23.291392201,259.776994000,306.347700000
eager,rows_per_s,3,1.819000000,0.150039995,1.671000000,1.971000000
eager,tokens_per_s,3,812.234333333,67.445813586,746.609000000,881.364000000
eager,request_e2e_s_p50,3,175.962033667,1.487165728,174.450354000,177.423409000
eager,request_e2e_s_p95,3,255.545315000,20.251637627,235.450482000,275.950197000
eager,request_e2e_s_p99,3,259.821717667,22.474327850,237.433017000,282.380705000
eager,request_slo_violation_ratio,3,0.481120000,0.018563063,0.462891000,0.500000000
eager,request_slo_goodput_per_s,3,0.944762667,0.097651600,0.835652000,1.023955000
eager,gpu_utilization_pct_mean,3,95.236065170,0.342093457,94.842652796,95.463560335
eager,gpu_power_w_mean,3,81.454910207,3.706307313,78.546817181,85.628140442
eager,gpu_energy_j,3,22851.333641568,953.516278751,22117.987070746,23929.235019183
eager,energy_j_per_1k_observed_tokens,3,99.953744654,4.168363586,96.602813925,104.621483806
eager,mfu_estimate,3,0.040245474,0.003342807,0.036999010,0.043676940
eager,vllm_running_mean,3,22.086544333,0.802984524,21.576072822,23.012114537
eager,vllm_running_p95,3,40.333333333,0.577350269,40.000000000,41.000000000
eager,vllm_waiting_mean,3,0.027572820,0.002290727,0.025330396,0.029908973
eager,vllm_waiting_p95,3,0.000000000,0.000000000,0.000000000,0.000000000
eager,vllm_kv_cache_usage_mean,3,0.040186992,0.001283694,0.039384936,0.041667556
eager,vllm_prompt_tokens_delta,3,63970.000000000,0.000000000,63970.000000000,63970.000000000
eager,vllm_generation_tokens_delta,3,164649.333333333,400.006666611,164208.000000000,164988.000000000
eager,vllm_estimated_flops_per_gpu_delta,3,692279426621440.000000000,1287616510739.397460938,690844985131008.000000000,693335379542016.000000000
eager,submission_trace_events,3,137.000000000,0.000000000,137.000000000,137.000000000
eager,packing_batch_count,3,137.000000000,0.000000000,137.000000000,137.000000000
graph,e2e_s,3,79.853761000,1.847337906,77.747502000,81.199144000
graph,rows_per_s,3,6.413666667,0.150151035,6.305000000,6.585000000
graph,tokens_per_s,3,2875.684000000,65.103093989,2829.402000000,2950.127000000
graph,request_e2e_s_p50,3,32.260479000,2.023877366,29.958261000,33.759329000
graph,request_e2e_s_p95,3,56.917125667,1.679271809,54.987780000,58.049646000
graph,request_e2e_s_p99,3,57.630021333,1.938168396,55.425802000,59.067630000
graph,request_slo_violation_ratio,3,0.000000000,0.000000000,0.000000000,0.000000000
graph,request_slo_goodput_per_s,3,6.414036667,0.150173230,6.305485000,6.585421000
graph,gpu_utilization_pct_mean,3,92.130201033,0.302022651,91.937238494,92.478260870
graph,gpu_power_w_mean,3,161.516754392,1.802252414,160.424854772,163.596956522
graph,gpu_energy_j,3,12744.157803510,163.518057627,12559.281604698,12869.818613592
graph,energy_j_per_1k_observed_tokens,3,55.516689725,0.669191704,54.756748435,56.017839838
graph,mfu_estimate,3,0.145114710,0.003371484,0.142779812,0.148979953
graph,vllm_running_mean,3,22.582098471,0.125015797,22.448132780,22.695652174
graph,vllm_running_p95,3,41.000000000,0.000000000,41.000000000,41.000000000
graph,vllm_waiting_mean,3,0.016744680,0.012471090,0.004347826,0.029288703
graph,vllm_waiting_p95,3,0.000000000,0.000000000,0.000000000,0.000000000
graph,vllm_kv_cache_usage_mean,3,0.045762662,0.000313136,0.045414171,0.046020394
graph,vllm_prompt_tokens_delta,3,63970.000000000,0.000000000,63970.000000000,63970.000000000
graph,vllm_generation_tokens_delta,3,165584.000000000,190.007894573,165395.000000000,165775.000000000
graph,vllm_estimated_flops_per_gpu_delta,3,695228816072704.000000000,595161801912.056152344,694622317117440.000000000,695811952730112.000000000
graph,submission_trace_events,3,137.000000000,0.000000000,137.000000000,137.000000000
graph,packing_batch_count,3,137.000000000,0.000000000,137.000000000,137.000000000
