"schema_version","experiment_id","phase","repeat_index","job_id","sample_index","sample_epoch_s","gpu_metrics_status","gpu_name","gpu_utilization_pct","gpu_memory_used_mib","gpu_memory_total_mib","vllm_metrics_status","vllm_num_requests_running","vllm_num_requests_waiting","vllm_kv_cache_usage_perc","server_version","pgvector_version"
"1","accelerated_arrival_gate_queue_adaptive","formal","1","781","0","1784982366.6283176","snapshot","NVIDIA GeForce RTX 5070","25","11505","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_queue_adaptive","formal","1","781","1","1784982366.9538026","snapshot","NVIDIA GeForce RTX 5070","24","11504","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_queue_adaptive","formal","1","781","2","1784982367.2779405","snapshot","NVIDIA GeForce RTX 5070","24","11504","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_queue_adaptive","formal","1","781","3","1784982367.6216614","snapshot","NVIDIA GeForce RTX 5070","24","11505","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_queue_adaptive","formal","1","781","4","1784982367.9816756","snapshot","NVIDIA GeForce RTX 5070","25","11505","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_queue_adaptive","formal","1","781","5","1784982368.3376665","snapshot","NVIDIA GeForce RTX 5070","25","11505","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_queue_adaptive","formal","1","781","6","1784982368.695973","snapshot","NVIDIA GeForce RTX 5070","25","11505","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_queue_adaptive","formal","1","781","7","1784982369.0344448","snapshot","NVIDIA GeForce RTX 5070","24","11505","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_queue_adaptive","formal","1","781","8","1784982369.3778017","snapshot","NVIDIA GeForce RTX 5070","24","11516","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_queue_adaptive","formal","1","781","9","1784982369.7242694","snapshot","NVIDIA GeForce RTX 5070","24","11527","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_queue_adaptive","formal","1","781","10","1784982370.0797737","snapshot","NVIDIA GeForce RTX 5070","34","11523","12227","ok","6","0","0.0023046968131605894","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_queue_adaptive","formal","1","781","11","1784982370.4348407","snapshot","NVIDIA GeForce RTX 5070","34","11531","12227","ok","8","0","0.008424064213621518","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_queue_adaptive","formal","1","781","12","1784982370.763059","snapshot","NVIDIA GeForce RTX 5070","34","11525","12227","ok","5","0","0.022252245092585277","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_queue_adaptive","formal","1","781","13","1784982371.0966048","snapshot","NVIDIA GeForce RTX 5070","90","11508","12227","ok","5","0","0.0039736151951045295","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_queue_adaptive","formal","1","781","14","1784982371.4347572","snapshot","NVIDIA GeForce RTX 5070","90","11508","12227","ok","8","0","0.0031788921560835792","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_queue_adaptive","formal","1","781","15","1784982371.7511902","snapshot","NVIDIA GeForce RTX 5070","90","11508","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
