"schema_version","experiment_id","phase","repeat_index","job_id","sample_index","sample_epoch_s","gpu_metrics_status","gpu_name","gpu_utilization_pct","gpu_memory_used_mib","gpu_memory_total_mib","vllm_metrics_status","vllm_num_requests_running","vllm_num_requests_waiting","vllm_kv_cache_usage_perc","server_version","pgvector_version"
"1","accelerated_arrival_gate_fixed_timeout","formal","1","780","0","1784982324.7928593","snapshot","NVIDIA GeForce RTX 5070","26","11509","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_fixed_timeout","formal","1","780","1","1784982325.120952","snapshot","NVIDIA GeForce RTX 5070","26","11496","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_fixed_timeout","formal","1","780","2","1784982325.4596126","snapshot","NVIDIA GeForce RTX 5070","26","11518","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_fixed_timeout","formal","1","780","3","1784982325.813215","snapshot","NVIDIA GeForce RTX 5070","26","11517","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_fixed_timeout","formal","1","780","4","1784982326.1804287","snapshot","NVIDIA GeForce RTX 5070","28","11521","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_fixed_timeout","formal","1","780","5","1784982326.5345156","snapshot","NVIDIA GeForce RTX 5070","28","11521","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_fixed_timeout","formal","1","780","6","1784982326.877323","snapshot","NVIDIA GeForce RTX 5070","28","11521","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_fixed_timeout","formal","1","780","7","1784982327.218549","snapshot","NVIDIA GeForce RTX 5070","28","11518","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_fixed_timeout","formal","1","780","8","1784982327.559711","snapshot","NVIDIA GeForce RTX 5070","28","11515","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_fixed_timeout","formal","1","780","9","1784982327.902037","snapshot","NVIDIA GeForce RTX 5070","28","11507","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_fixed_timeout","formal","1","780","10","1784982328.2396128","snapshot","NVIDIA GeForce RTX 5070","28","11498","12227","ok","15","0","0.004609393626321179","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_fixed_timeout","formal","1","780","11","1784982328.5951836","snapshot","NVIDIA GeForce RTX 5070","28","11497","12227","ok","5","0","0.007867758086306909","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_fixed_timeout","formal","1","780","12","1784982328.9292493","snapshot","NVIDIA GeForce RTX 5070","83","11505","12227","ok","5","0","0.0018278629897480192","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_fixed_timeout","formal","1","780","13","1784982329.2523713","snapshot","NVIDIA GeForce RTX 5070","83","11505","12227","ok","8","0","0.0044504490185171","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_fixed_timeout","formal","1","780","14","1784982329.5907753","snapshot","NVIDIA GeForce RTX 5070","83","11506","12227","ok","7","0","0.005404116665342129","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_fixed_timeout","formal","1","780","15","1784982329.928476","snapshot","NVIDIA GeForce RTX 5070","91","11506","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
