scenario_id,phase,repeat_index,tokens_per_s,mfu_fraction,gpu_utilization_pct_mean,gpu_energy_j,vllm_running_mean,vllm_waiting_mean,vllm_kv_usage_mean,ttft_p99_s,itl_p99_s,job_jct_s,job_p99_s,job_slo_violation_ratio,direct_request_occupancy_fraction_mean,direct_estimated_work_to_reference_w_fraction_mean,direct_admission_wait_p95_s,project_active_request_occupancy_max,project_active_work_occupancy_max,project_waiting_request_occupancy_max,project_waiting_work_occupancy_max,ray_actor_ready_s_max,ray_submit_s_max,project_bounded_wait_s_max,project_avg_bounded_wait_s_max
feeding_gap_d0_direct_k_only,formal,1,13366.778926625628,0.5407010796040645,98.31460674157303,56143.42546669483,161.2808988764045,38.19662921348315,0.697484832213418,18.616216216216216,0.821839302253782,"[52.04001021385193, 60.08767771720886]","[45.622859716415405, 54.83229637145996]","[0.55078125, 0.986328125]",0.8855101324932126,1.87985563710297,42.030728340148926,,,,,,,,
feeding_gap_d0_direct_k_only,formal,2,13913.950720287348,0.5645350024224951,97.953216374269,54021.5213931179,169.91228070175438,40.35672514619883,0.7250809023451885,18.652631578947368,0.8078998330550906,"[52.11342191696167, 57.54344344139099]","[45.64005756378174, 51.813968658447266]","[0.5546875, 0.986328125]",0.8954053056337717,1.9509796528947652,42.06760621070862,,,,,,,,
feeding_gap_d0_direct_k_only,formal,3,13278.68060036581,0.5370319155213616,98.31491712707182,56834.334202545884,159.98342541436463,37.828729281767956,0.6884214786099754,18.5972602739726,0.8085956175298799,"[52.17262125015259, 60.517850160598755]","[45.590083837509155, 55.27116870880127]","[0.55078125, 0.986328125]",0.887265733562116,1.8684737043790989,42.4806182384491,,,,,,,,
feeding_gap_d0_direct_k_only,warmup,1,13492.68806613821,0.5434836848173569,98.85195530726257,55613.620704349276,160.52513966480447,37.80446927374302,0.6835062873073657,18.616216216216216,0.7160691144708403,"[51.20231318473816, 59.495744943618774]","[44.60631036758423, 54.224241733551025]","[0.541015625, 0.986328125]",0.89264692854258,1.8716442017374315,41.73673176765442,,,,,,,,
feeding_gap_d1_direct_k_work,formal,1,12516.580995397915,0.4738142898055963,98.3828125,58830.125762207506,114.00520833333333,0.6979166666666666,0.4305780420326535,2.6727272727272706,0.22038333333333215,"[63.534833669662476, 64.50310635566711]","[56.927955627441406, 57.819897413253784]","[0.46484375, 0.87890625]",0.4707867183196399,0.8965397073361374,50.50477862358093,,,,,,,,
feeding_gap_d1_direct_k_work,formal,2,12718.969921950113,0.48021031348505394,98.57671957671958,58409.341899635794,117.29629629629629,0.43386243386243384,0.43805065406971017,2.4877631578947366,0.2501950384944396,"[63.47983407974243, 63.411009788513184]","[57.220733642578125, 56.56933808326721]","[0.47265625, 0.826171875]",0.4796799358757826,0.9064460514615871,50.09241247177124,,,,,,,,
feeding_gap_d1_direct_k_work,formal,3,12227.875790543112,0.46189205817027196,97.20812182741116,59639.49205248356,110.78680203045685,0.43147208121827413,0.41896196407478864,2.488862275449102,0.19060927419354784,"[63.36495900154114, 66.19296431541443]","[55.70659136772156, 59.3995943069458]","[0.46484375, 0.865234375]",0.4674616109368568,0.8875873916798914,50.431315422058105,,,,,,,,
feeding_gap_d1_direct_k_work,warmup,1,12434.130675769808,0.46997206294223803,97.65625,59235.32074372411,115.4375,0.3541666666666667,0.42835110540419835,2.488447204968944,0.22915123966942236,"[66.63283920288086, 64.97825241088867]","[56.91945242881775, 58.29558086395264]","[0.4609375, 0.875]",0.47725204460527393,0.9000965145243037,50.52126860618591,,,,,,,,
feeding_gap_p0_project_bounded_ready_fifo,formal,1,12539.62548732796,0.4713892973189726,96.75135135135135,58555.30940962672,119.53513513513514,0.8216216216216217,0.409704300101799,2.6727272727272706,0.2946978508217443,"[67.88047456741333, 47.20918154716492]","[61.22108507156372, 40.71056866645813]","[0.556640625, 0.40234375]",0.0,0.0,0.0,128.0,65536.0,186.0,118078.0,4.816826,0.518426,27.671317,0.062463
feeding_gap_p0_project_bounded_ready_fifo,formal,2,12427.681339081939,0.4670900864644856,95.89784946236558,58863.6296794045,119.79032258064517,0.8225806451612904,0.4118918295898226,2.6727272727272706,0.3101570351758801,"[68.21174097061157, 47.911760568618774]","[61.30060815811157, 41.257060527801514]","[0.560546875, 0.39453125]",0.0,0.0,0.0,128.0,65536.0,183.0,118226.0,4.975723,0.506284,27.47989,0.062313
feeding_gap_p0_project_bounded_ready_fifo,formal,3,12419.914313103485,0.4667130758648443,96.43386243386243,58867.95064226508,118.43915343915344,1.507936507936508,0.40934437063661416,2.866666666666665,0.2982139934533554,"[68.25226593017578, 47.56872081756592]","[61.211791038513184, 40.95812201499939]","[0.552734375, 0.404296875]",0.0,0.0,0.0,128.0,65530.0,187.0,118081.0,4.964445,0.503401,27.978752,0.063015
feeding_gap_p0_project_bounded_ready_fifo,warmup,1,12527.791350146103,0.47072268626665364,97.22950819672131,58560.15111357212,121.37158469945355,0.7158469945355191,0.4133846833456583,2.6727272727272706,0.29997927241962813,"[68.05231761932373, 47.719292879104614]","[61.20047569274902, 40.630247592926025]","[0.560546875, 0.40234375]",0.0,0.0,0.0,128.0,65533.0,189.0,118081.0,4.814297,0.507363,27.333226,0.060606
