status,experiment_id,phase,repeat_index,server_version,pgvector_version,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,database_trigger,job_id,operator,executor,strategy,data_source,organizer,organizer_partition_mode,organizer_partitions,daft_runner,organizer_partition_effective,model_backend,model_endpoint_url,model_name,total_rows,written_rows,db_fetch_rows,ray_batch_rows,embedding_dim,embedding_vector_dim,completion_max_tokens,model_workers,max_inflight_limit,writeback_mode,write_batch_rows,object_count,operator_invocations,max_inflight_seen,token_count,db_fetch_s,arrow_build_s,source_fetch_s,organizer_from_arrow_s,organizer_plan_s,organizer_collect_s,organizer_warnings,model_service_s,model_request_wall_s,operator_wall_s,submit_s,bounded_wait_s,avg_bounded_wait_s,fanin_s,writeback_s,e2e_s,rows_per_s
ok,vllm_qwen15b_static_batch_1,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,10518,12227,job_table,328,ai_complete,python,coalesced,daft_postgres,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,32,0,32,1,128,128,8,2,8,none,0,32,32,1,1634,0.622115,0.0,0.622115,0.000588,4.9e-05,0.013151,,67.109466,67.112784,67.112459,0.0,0.0,0.0,0.0,7e-06,68.295637,0.469
ok,vllm_qwen15b_static_batch_1,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,68,10516,12227,job_table,329,ai_complete,python,coalesced,daft_postgres,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,32,0,32,1,128,128,8,2,8,none,0,32,32,1,1634,0.056273,0.0,0.056273,0.000402,5.7e-05,0.012866,,3.036176,3.039382,3.039003,0.0,0.0,0.0,0.0,6e-06,3.11187,10.283
ok,vllm_qwen15b_static_batch_1,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,64,10526,12227,job_table,330,ai_complete,python,coalesced,daft_postgres,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,32,0,32,1,128,128,8,2,8,none,0,32,32,1,1634,0.054662,0.0,0.054662,0.000308,4.5e-05,0.012766,,2.975732,2.978189,2.978511,0.0,0.0,0.0,0.0,6e-06,3.049625,10.493
ok,vllm_qwen15b_static_batch_1,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,52,10514,12227,job_table,331,ai_complete,python,coalesced,daft_postgres,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,32,0,32,1,128,128,8,2,8,none,0,32,32,1,1634,0.060954,0.0,0.060954,0.000418,6.3e-05,0.011733,,3.055021,3.058438,3.058192,0.0,0.0,0.0,0.0,7e-06,3.134743,10.208
ok,vllm_qwen15b_static_batch_2,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,76,10551,12227,job_table,332,ai_complete,python,coalesced,daft_postgres,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,32,0,32,2,128,128,8,2,8,none,0,16,16,1,1634,0.40204,0.0,0.40204,0.000519,4.6e-05,0.00877,,1.697529,1.699598,1.698932,0.0,0.0,0.0,0.0,5e-06,2.277406,14.051
ok,vllm_qwen15b_static_batch_2,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,65,10551,12227,job_table,333,ai_complete,python,coalesced,daft_postgres,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,32,0,32,2,128,128,8,2,8,none,0,16,16,1,1634,0.055649,0.0,0.055649,0.000317,4.5e-05,0.008157,,1.664283,1.666068,1.665743,0.0,0.0,0.0,0.0,4e-06,1.733009,18.465
ok,vllm_qwen15b_static_batch_2,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,63,10533,12227,job_table,334,ai_complete,python,coalesced,daft_postgres,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,32,0,32,2,128,128,8,2,8,none,0,16,16,1,1634,0.066689,0.0,0.066689,0.000403,4.5e-05,0.009554,,1.65691,1.658896,1.658759,0.0,0.0,0.0,0.0,6e-06,1.738647,18.405
ok,vllm_qwen15b_static_batch_2,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,71,10524,12227,job_table,335,ai_complete,python,coalesced,daft_postgres,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,32,0,32,2,128,128,8,2,8,none,0,16,16,1,1634,0.056159,0.0,0.056159,0.000503,4.8e-05,0.008004,,1.675024,1.676396,1.676424,0.0,0.0,0.0,0.0,5e-06,1.744425,18.344
ok,vllm_qwen15b_static_batch_4,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,10524,12227,job_table,336,ai_complete,python,coalesced,daft_postgres,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,32,0,32,4,128,128,8,2,8,none,0,8,8,1,1634,0.393293,0.0,0.393293,0.000543,4.8e-05,0.007108,,0.866492,0.867634,0.86727,0.0,0.0,0.0,0.0,8e-06,1.431325,22.357
ok,vllm_qwen15b_static_batch_4,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,62,10518,12227,job_table,337,ai_complete,python,coalesced,daft_postgres,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,32,0,32,4,128,128,8,2,8,none,0,8,8,1,1634,0.05656,0.0,0.05656,0.000396,6.2e-05,0.005253,,0.859822,0.860487,0.860608,0.0,0.0,0.0,0.0,5e-06,0.925875,34.562
