doc_id,prompt_tokens,output_tokens,output_text,status,error_type,finish_reason,submit_epoch_s,service_start_epoch_s,completion_epoch_s
60000000,239,0,Denver Broncos,completed,,stop,1786036388.7177622,1786036388.7224846,1786036388.8000753
60000001,239,0,Carolina Panthers,completed,,stop,1786036388.7187905,1786036388.723796,1786036388.8545408
60000002,235,0,"Santa Clara, California",completed,,stop,1786036388.719657,1786036388.723014,1786036388.8735056
60000003,234,0,Denver Broncos,completed,,stop,1786036388.7205663,1786036388.7243292,1786036388.8066359
60000004,244,0,gold,completed,,stop,1786036388.721516,1786036388.7260523,1786036388.8023431
60000005,235,0,golden anniversary,completed,,stop,1786036388.722397,1786036388.725364,1786036388.8245108
60000006,234,0,February 7,completed,,stop,1786036388.7232115,1786036388.7256594,1786036388.8475187
60000007,232,0,American Football Conference,completed,,stop,1786036388.7241044,1786036388.7262514,1786036388.8556318
60000008,235,0,golden anniversary,completed,,stop,1786036388.7248983,1786036388.7282481,1786036388.8444061
60000009,232,0,American Football Conference,completed,,stop,1786036388.7256489,1786036388.7279093,1786036388.8789637
60000010,235,0,February 7,completed,,stop,1786036388.7264218,1786036388.7295449,1786036388.8821774
60000011,231,0,Denver Broncos,completed,,stop,1786036388.7272851,1786036388.730161,1786036388.851263
60000012,237,0,Levi's Stadium,completed,,stop,1786036388.7282565,1786036388.7306144,1786036388.9009643
60000013,236,0,Santa Clara,completed,,stop,1786036388.7290823,1786036388.7312121,1786036388.8534646
60000014,244,0,Super Bowl L,completed,,stop,1786036388.7299585,1786036388.7328184,1786036388.8832574
60000015,240,0,2015,completed,,stop,1786036388.7316628,1786036388.7342718,1786036388.895218
60000016,245,0,2015,completed,,stop,1786036388.7333245,1786036388.734961,1786036388.8867009
60000017,236,0,Santa Clara,completed,,stop,1786036388.7342489,1786036388.7358875,1786036388.852428
60000018,237,0,Levi's Stadium,completed,,stop,1786036388.7351387,1786036388.7365274,1786036388.9075317
60000019,237,0,24-10,completed,,stop,1786036388.7364514,1786036388.7376542,1786036388.905451
60000020,240,0,"February 7, 2016",completed,,stop,1786036388.7375097,1786036388.7390413,1786036389.0013201
60000021,233,0,2016,completed,,stop,1786036388.7383494,1786036388.7398427,1786036388.8888412
