system,scenario,policy,job,formal_repeats,job_jct_s_mean,job_jct_s_cv,request_p95_s_mean,request_p95_s_cv,request_p99_s_mean,request_p99_s_cv,actual_work_mean,actual_work_cv,work_per_s_mean,work_per_s_cv,overlap_with_any_s_mean,overlap_with_any_s_cv,replay_barrier_lateness_ms_mean,replay_barrier_lateness_ms_cv,arrival_to_first_submit_ms_mean,arrival_to_first_submit_ms_cv,first_submit_to_completion_s_mean,first_submit_to_completion_s_cv
daft_native,fourjob,native_independent_jobs,long1,3,110.69846391677856,0.006664428390225334,,,,,377438.0,0.0,3409.7053358313733,0.00664471974176588,109.24200558662415,0.018124424114868472,,,,,,
daft_native,fourjob,native_independent_jobs,long2,3,108.6664731502533,0.010269601958853292,,,,,377443.0,0.0,3473.650833006736,0.010209696035923444,108.6664731502533,0.010269601958853292,,,,,,
daft_native,fourjob,native_independent_jobs,long3,3,103.85580817858379,0.10266610820019276,,,,,377441.0,0.0,3661.43454884511,0.10840085292085246,103.79011495908101,0.10203780606576453,,,,,,
daft_native,fourjob,native_independent_jobs,short,3,21.354673624038696,0.05290400304228728,,,,,38641.0,0.0,1812.974293530383,0.05454207513962716,16.354677120844524,0.06907797129120047,,,,,,
daft_native,single_full,single_full,long1,3,37.61336803436279,0.023889641784528973,,,,,377438.0,0.0,10038.524826084153,0.024068774648458524,0.0,0.0,,,,,,
daft_native,single_full,single_full,long2,3,36.23332722981771,0.008845255756509072,,,,,377443.0,0.0,10417.55248401935,0.008800330555567561,0.0,0.0,,,,,,
daft_native,single_full,single_full,long3,3,37.333547035853066,0.003979419460382644,,,,,377441.0,0.0,10110.075666412675,0.003980100084116396,0.0,0.0,,,,,,
daft_native,single_full,single_full,short,3,12.8165442943573,0.019133592248014294,,,,,38641.0,0.0,3015.6608189644385,0.01896635859543689,0.0,0.0,,,,,,
daft_ray,fourjob,native_independent_jobs,long1,3,112.146311044693,0.080084466126574,,,,,377438.0,0.0,3380.4778809086815,0.08256670200314449,112.14605085055034,0.0800837826212363,,,,,,
daft_ray,fourjob,native_independent_jobs,long2,3,108.14234781265259,0.08977397222057902,,,,,377443.0,0.0,3510.0000674222933,0.09408170631445435,108.14234781265259,0.08977397222057902,,,,,,
daft_ray,fourjob,native_independent_jobs,long3,3,120.08905641237895,0.005736440371378082,,,,,377441.0,0.0,3143.077870901074,0.0057193546506067745,116.51161448160808,0.0247381652557937,,,,,,
daft_ray,fourjob,native_independent_jobs,short,3,30.97086016337077,0.029756261818070368,,,,,38641.0,0.0,1248.4059577240191,0.030256269303706597,25.97086517016093,0.03548508718317976,,,,,,
daft_ray,single_full,single_full,long1,3,46.79316020011902,0.00980242942908885,,,,,377438.0,0.0,8066.607314114002,0.009749211247041131,0.0,0.0,,,,,,
daft_ray,single_full,single_full,long2,3,46.67788124084473,0.006280702703540203,,,,,377443.0,0.0,8086.333110271286,0.006261912025231931,0.0,0.0,,,,,,
daft_ray,single_full,single_full,long3,3,46.52657945950826,0.006053424311047431,,,,,377441.0,0.0,8112.571672025678,0.006046679844852284,0.0,0.0,,,,,,
daft_ray,single_full,single_full,short,3,24.682276328404743,0.02106444659644401,,,,,38641.0,0.0,1565.996497295817,0.02092667196523786,0.0,0.0,,,,,,
project,single_long1_full_pool,single_full,long1,3,38.937316258748375,0.002470615174929436,38.8818573196729,0.002576874061804165,38.929145399729414,0.002495144329275411,500137.0,7.006646366069789e-05,12844.722664910718,0.0024636886634617043,0.0,0.0,0.09854634602864583,0.07186474896359422,37.546634674072266,0.021414402822976988,38.8997696240743,0.0024619635742879017
project,single_long1_quarter_pool,single_quarter,long1,3,97.01685810089111,0.0026031668642866592,92.10544138749441,0.0029120960678622764,96.30426849524177,0.0028302441311398095,500028.6666666667,0.00028799274752622895,5154.059899520739,0.0023441097628675123,0.0,0.0,0.11603037516276042,0.01864473642303589,38.127501805623375,0.027303411775934452,96.9787305990855,0.0025945861195613824
project,single_long2_full_pool,single_full,long2,3,39.72601914405823,0.0004942343240358679,39.21320233742396,0.0004204133212418497,39.263429435094196,0.0007925431961407083,495886.3333333333,0.0004813292353494971,12482.661916959103,0.0008899130283084305,0.0,0.0,0.11070569356282552,0.11646182077218735,40.418386459350586,0.038728371447939544,39.68560075759888,0.0004698043116493401
project,single_long2_quarter_pool,single_quarter,long2,3,94.43386888504028,0.002726814632278155,89.80088024536768,0.0028661614520693736,94.39545938412348,0.00270876532107519,496000.0,0.00018704419102570926,5252.377607808817,0.002596643126343192,0.0,0.0,0.10267893473307292,0.027111888371729093,38.865089416503906,0.017676937157749116,94.39500379562378,0.0027277681164146698
project,single_long3_full_pool,single_full,long3,3,40.0769514242808,0.0011948256766417104,39.00372325181961,0.0026161491110187015,40.06156405131022,0.001233552216209876,496822.6666666667,0.0002823245281902835,12396.730888928336,0.0013274044750431332,0.0,0.0,0.11420249938964844,0.10692115262882569,39.07593091328939,0.12602695175785608,40.037875493367515,0.001084191978633416
project,single_long3_quarter_pool,single_quarter,long3,3,93.81559220949809,0.0033781020665426572,90.05712114572525,0.004437832131060047,93.77281123956044,0.0035742578077404444,497141.6666666667,3.716286493937279e-05,5299.177108233523,0.0033691641357629946,0.0,0.0,0.10832150777180989,0.07568248191050829,39.47265942891439,0.007228366005834875,93.77611955006917,0.00337716267747434
project,single_short_full_pool,single_full,short,3,13.070991436640421,0.004677838105148825,13.066540940602621,0.004872824793144235,13.070472892125446,0.004680474448951277,147862.0,0.0009809239250634242,11312.374923519248,0.004333206928961855,0.0,0.0,0.12159347534179688,0.10896034501529259,38.789987564086914,0.059890045776312614,13.032201449076334,0.004726425212816209
project,single_short_quarter_pool,single_quarter,short,3,36.64831646283468,0.005169686086082091,34.32628770669301,0.0036709471046249566,36.45011708418528,0.0022622999822772367,147658.33333333334,0.001848333504608114,4029.1093115231147,0.003467193076172067,0.0,0.0,0.11245409647623698,0.12451807485081005,40.25729497273763,0.05714558495880101,36.60805916786194,0.005176039931301631
project,staggered_fourjob_shared_work,shared_work,long1,3,125.09390068054199,0.017023002779517113,124.44469318787257,0.016175152951466983,124.96673304080964,0.01599360470637433,499973.0,0.0002058071290954761,3997.5481833132667,0.016899044932695728,108.09449950853984,0.12915941477506404,0.1117388407389323,0.19101595094943047,280.85947036743164,0.7301916514985369,124.81304121017456,0.015419012479995622
project,staggered_fourjob_shared_work,shared_work,long2,3,108.10153373082478,0.12925397073954592,103.85235685110092,0.15520261115642459,107.39018199841182,0.13366982217949505,496059.6666666667,0.00019121545364456734,4639.576606981201,0.12725174654466667,108.09449950853984,0.12915941477506404,0.13176600138346353,0.15321680480261568,794.9089209238688,0.8765887438783881,107.30662480990092,0.12419921209344853
project,staggered_fourjob_shared_work,shared_work,long3,3,64.039315700531,0.1018898245319625,60.5298190275828,0.09584154521662429,63.713151340484615,0.09681427040760356,497081.3333333333,0.0002015093331650182,7819.062363616154,0.10725556453051768,64.039315700531,0.1018898245319625,0.11960665384928386,0.1078317496316777,49.00439580281576,0.07950098460810405,63.99031130472819,0.10191104014477427
project,staggered_fourjob_shared_work,shared_work,short,3,16.325076580047607,0.016868755599144587,16.207019925117493,0.021883609809802845,16.305380767981212,0.017892989395885305,147838.33333333334,0.0005100691993975857,9057.612836026456,0.0167753366474362,11.325076580047607,0.02431627945468468,0.12524922688802084,0.16224186263028617,51.149606704711914,0.06103693758003336,16.273926973342896,0.016943569360050235
project,staggered_fourjob_static_partition,static_partition,long1,3,136.3862748146057,0.0009732834672882953,131.49060751994452,0.0012071409230324636,135.5874929332733,0.0011231546247976558,500174.0,0.00012015801862005398,3667.336055053736,0.0009406928947524846,135.53489208221436,0.0015958188013077959,0.10657310485839844,0.078682350760935,39.67547416687012,0.03162208920306723,136.34659934043884,0.000969169855906284
project,staggered_fourjob_static_partition,static_partition,long2,3,135.53489208221436,0.0015958188013077959,129.8245733300845,0.0016697016622367255,135.10920528332392,0.0024564013895470582,495927.6666666667,0.00011765156305026742,3659.0465632318796,0.0015472755270442512,135.53489208221436,0.0015958188013077959,0.10426839192708333,0.20128879073468373,38.93820444742838,0.040657715920199775,135.49595387776694,0.0015869338568942231
project,staggered_fourjob_static_partition,static_partition,long3,3,135.27627261479697,0.0003343482881373311,130.28427826960882,0.0042066039876844045,135.0030892896652,0.002407544428497641,497090.6666666667,0.00019216087269691788,3674.6334747621972,0.0004951570101218385,135.27627261479697,0.0003343482881373311,0.09393692016601562,0.1044316782306649,38.93136978149414,0.04426490789154065,135.23734124501547,0.0003465499500328465
