comparison,metric,baseline,project_all_at_t0,ratio,delta_pct,comparison_class,rankable_for_stated_diagnostic,interpretation_boundary
all_at_t0_vs_arrival_replay,profiler_e2e_s,79.39437133333334,14.957116000000001,0.18839013079659375,-81.16098692034063,within_project_same_profiler_boundary,True,same Project profiler boundary; input visibility is the intended change
all_at_t0_vs_arrival_replay,operator_wall_s,71.24470366666667,11.358616,0.1594310231556815,-84.05689768443185,within_project_same_operator_boundary,True,same Project operator boundary
all_at_t0_vs_arrival_replay,model_service_tokens_per_s,2218.311459602975,14361.226999999999,6.4739452784372835,547.3945278437284,within_project_service_characterization,True,vLLM counter work divided by the Project model-request wall
all_at_t0_vs_arrival_replay,mfu_pct,6.633243949322451,42.93315140699087,6.472421598692486,547.2421598692486,within_project_same_mfu_convention,True,same 165-TFLOPS bf16 dense convention
all_at_t0_vs_arrival_replay,running_mean,26.098639455782312,155.35733643050716,5.952698672040806,495.2698672040806,within_project_state_characterization,True,sum across two endpoints
all_at_t0_vs_arrival_replay,kv_usage_pct_mean,2.9788109973779595,16.16695516792468,5.427318209230236,442.73182092302363,within_project_state_characterization,True,vLLM fraction converted to percent
project_total_vs_daft_collect,wall_s,11.059022267659506,14.957116000000001,1.3524808647632351,35.248086476323515,cross_system_misaligned_timer,False,not rankable: Project includes source/actor-ready; Daft timer starts before collect
project_operator_vs_daft_collect,wall_s,11.059022267659506,11.358616,1.0270904357627177,2.7090435762717746,cross_system_approximate_framework_boundary,False,"closer execution boundary, still not identical framework timing"
project_model_request_vs_daft_request_window,wall_s,11.059022267659506,11.353823184967041,1.0266570507023607,2.6657050702360685,cross_system_aligned_model_request_window,True,"same manifest and eager visibility; short diagnostic, not a 60-second capacity rank"
project_all_at_t0_vs_daft_native_short,model_service_tokens_per_s,14726.935074833653,14361.226999999999,0.9751674008899109,-2.483259911008906,cross_system_service_characterization,True,"same short manifest; service-counter characterization, not 60-second capacity ranking"
project_all_at_t0_vs_daft_native_short,mfu_pct,44.044840295473506,42.93315140699087,0.9747600654009664,-2.523993459903362,cross_system_service_characterization,True,same service and MFU convention
project_all_at_t0_vs_daft_native_short,running_mean,250.09239316239317,155.35733643050716,0.6211997672781218,-37.88002327218783,cross_system_state_characterization,True,different submission shapes; state characterization only
project_all_at_t0_vs_daft_native_short,kv_usage_pct_mean,24.457164434163094,16.16695516792468,0.6610314622304211,-33.89685377695789,cross_system_state_characterization,True,different submission shapes; state characterization only
project_all_at_t0_vs_daft_native_short,vllm_request_e2e_mean_s,6.654045518487692,4.651591,0.699062094942987,-30.0937905057013,cross_system_vllm_counter,True,vLLM counter mean; lower per-request latency does not imply higher aggregate capacity
