comparison_id,stage,baseline,candidate,mean_delta_pct,p99_delta_pct
quota_only,arrival_to_flush_s,single_short_full_pool_all_at_t0,single_short_half_pool_all_at_t0,118.92287918370603,107.73709267962062
quota_only,flush_to_submit_s,single_short_full_pool_all_at_t0,single_short_half_pool_all_at_t0,125.63702773020924,37.017601786881094
quota_only,request_e2e_s,single_short_full_pool_all_at_t0,single_short_half_pool_all_at_t0,30.732834532790253,53.930573944185966
quota_only,service_s,single_short_full_pool_all_at_t0,single_short_half_pool_all_at_t0,-20.09879335878727,-27.924223533204984
quota_only,submit_to_service_s,single_short_full_pool_all_at_t0,single_short_half_pool_all_at_t0,0.23459589893171096,-27.89866872130521
long_competition_static,arrival_to_flush_s,single_short_half_pool_all_at_t0,staggered_static_partition_all_at_t0,45.64370315415878,54.82600960489634
long_competition_static,flush_to_submit_s,single_short_half_pool_all_at_t0,staggered_static_partition_all_at_t0,67.44957733951355,100.62647630558432
long_competition_static,request_e2e_s,single_short_half_pool_all_at_t0,staggered_static_partition_all_at_t0,48.1564298561735,57.48925091844792
long_competition_static,service_s,single_short_half_pool_all_at_t0,staggered_static_partition_all_at_t0,50.339149248470186,78.61724194887809
long_competition_static,submit_to_service_s,single_short_half_pool_all_at_t0,staggered_static_partition_all_at_t0,8.310187200617914,0.6929506864784329
long_competition_shared,arrival_to_flush_s,single_short_full_pool_all_at_t0,staggered_shared_work_all_at_t0,6.080511719503612,6.536369734492786
long_competition_shared,flush_to_submit_s,single_short_full_pool_all_at_t0,staggered_shared_work_all_at_t0,3.577515461589309,22.760323256432933
long_competition_shared,request_e2e_s,single_short_full_pool_all_at_t0,staggered_shared_work_all_at_t0,11.717171335299703,27.59891924770066
long_competition_shared,service_s,single_short_full_pool_all_at_t0,staggered_shared_work_all_at_t0,14.63302656664518,28.703821546269936
long_competition_shared,submit_to_service_s,single_short_full_pool_all_at_t0,staggered_shared_work_all_at_t0,4.634978210870222,-21.075666830825924
shared_vs_static,arrival_to_flush_s,staggered_static_partition_all_at_t0,staggered_shared_work_all_at_t0,-66.73000450566478,-66.87621752262494
shared_vs_static,flush_to_submit_s,staggered_static_partition_all_at_t0,staggered_shared_work_all_at_t0,-72.58608490348789,-55.342601887699196
shared_vs_static,request_e2e_s,staggered_static_partition_all_at_t0,staggered_shared_work_all_at_t0,-42.32139487148323,-47.36541658952708
shared_vs_static,service_s,staggered_static_partition_all_at_t0,staggered_shared_work_all_at_t0,-4.570129898192732,-0.027918718219177574
shared_vs_static,submit_to_service_s,staggered_static_partition_all_at_t0,staggered_shared_work_all_at_t0,-3.6193306885641485,8.709768299320775
