schema_version,observed_epoch_s,elapsed_s,event_seq,event_time_s,event_epoch_s,endpoint_id,action,tier,selected_job_id,selected_request_id,target_job_id,head_work,reclaim_debt,hold_duration_s,constraint_conflict,ready_jobs,fitting_jobs,debt_by_job,debt_cap_by_job,recovery_inflight_by_job,active_requests,active_work,avoidable_idle,foreign_grant_over_debt_critical
2,1786671631.9090855,15.364073276519775,1,10610358.123742921,1786671631.6991184,endpoint-0,grant,saor_fallback,3640,3640:request:300018,,0,0,0.0,False,"[""3640""]","[""3640""]","[[""3640"", 0.0]]","[[""3640"", 8192.0]]",[],1,1223,False,False
2,1786671631.9090855,15.364073276519775,1,10610358.071831904,1786671631.6472085,endpoint-1,grant,saor_fallback,3640,3640:request:300003,,0,0,0.0,False,"[""3640""]","[""3640""]","[[""3640"", 0.0]]","[[""3640"", 8192.0]]",[],1,1257,False,False
2,1786671631.9090855,15.364073276519775,2,10610358.078084556,1786671631.6534603,endpoint-1,grant,saor_fallback,3640,3640:request:300010,,0,0,0.0,False,"[""3640""]","[""3640""]","[[""3640"", 0.0]]","[[""3640"", 8192.0]]",[],2,2767,False,False
2,1786671631.9090855,15.364073276519775,3,10610358.12072412,1786671631.6961002,endpoint-1,grant,saor_fallback,3640,3640:request:300012,,0,0,0.0,False,"[""3640""]","[""3640""]","[[""3640"", 0.0]]","[[""3640"", 8192.0]]",[],3,4006,False,False
2,1786671631.9090855,15.364073276519775,4,10610358.33464184,1786671631.9100175,endpoint-1,grant,saor_fallback,3640,3640:request:300032,,0,0,0.0,False,"[""3640""]","[""3640""]","[[""3640"", 0.0]]","[[""3640"", 8192.0]]",[],4,5189,False,False
2,1786671632.2831235,15.7381112575531,2,10610358.337812249,1786671631.9131875,endpoint-0,grant,saor_fallback,3640,3640:request:300033,,0,0,0.0,False,"[""3640""]","[""3640""]","[[""3640"", 0.0]]","[[""3640"", 8192.0]]",[],2,2606,False,False
2,1786671632.2831235,15.7381112575531,3,10610358.340322055,1786671631.9156973,endpoint-0,grant,saor_fallback,3640,3640:request:300035,,0,0,0.0,False,"[""3640""]","[""3640""]","[[""3640"", 0.0]]","[[""3640"", 8192.0]]",[],3,3960,False,False
2,1786671632.2831235,15.7381112575531,4,10610358.656872071,1786671632.232248,endpoint-0,grant,saor_fallback,3640,3640:request:300038,,0,0,0.0,False,"[""3640""]","[""3640""]","[[""3640"", 0.0]]","[[""3640"", 8192.0]]",[],4,5501,False,False
2,1786671632.2831235,15.7381112575531,5,10610358.531910956,1786671632.107287,endpoint-1,grant,saor_fallback,3640,3640:request:300037,,0,0,0.0,False,"[""3640""]","[""3640""]","[[""3640"", 0.0]]","[[""3640"", 8192.0]]",[],5,6420,False,False
2,1786671632.6444454,16.099433183670044,5,10610358.93670638,1786671632.5120819,endpoint-0,grant,saor_fallback,3640,3640:request:300052,,0,0,0.0,False,"[""3640""]","[""3640""]","[[""3640"", 0.0]]","[[""3640"", 8192.0]]",[],5,7136,False,False
