doc_id,prompt_tokens,output_tokens,output_text,status,error_type,finish_reason,submit_epoch_s,service_start_epoch_s,completion_epoch_s
60000000,239,0,Denver Broncos,completed,,stop,1785997109.774319,1785997109.779349,1785997109.8773289
60000001,239,0,Carolina Panthers,completed,,stop,1785997109.7770038,1785997109.7816174,1785997109.8964508
60000002,235,0,"Santa Clara, California",completed,,stop,1785997109.778545,1785997109.783284,1785997109.9616544
60000003,234,0,Denver Broncos,completed,,stop,1785997109.780031,1785997109.783673,1785997109.8909888
60000004,244,0,gold,completed,,stop,1785997109.7815094,1785997109.785753,1785997109.8740542
60000005,235,0,golden anniversary,completed,,stop,1785997109.7829468,1785997109.78669,1785997109.8947897
60000006,234,0,February 7,completed,,stop,1785997109.7843976,1785997109.7883854,1785997109.9254398
60000007,232,0,American Football Conference,completed,,stop,1785997109.7859106,1785997109.7896438,1785997109.910447
60000008,235,0,golden anniversary,completed,,stop,1785997109.7873948,1785997109.790494,1785997109.8886418
60000009,232,0,American Football Conference,completed,,stop,1785997109.788822,1785997109.7922935,1785997109.9170957
60000010,235,0,February 7,completed,,stop,1785997109.7902431,1785997109.7942007,1785997109.9237618
60000011,231,0,Denver Broncos,completed,,stop,1785997109.7916832,1785997109.7955234,1785997109.8931022
60000012,237,0,Levi's Stadium,completed,,stop,1785997109.7931209,1785997109.7969348,1785997109.9415026
60000013,236,0,Santa Clara,completed,,stop,1785997109.7945368,1785997109.7976189,1785997109.9087434
60000014,244,0,Super Bowl L,completed,,stop,1785997109.7960367,1785997109.7986567,1785997109.9138548
60000015,240,0,2015,completed,,stop,1785997109.7974672,1785997109.80049,1785997109.9748142
60000016,245,0,2015,completed,,stop,1785997109.7988951,1785997109.8007495,1785997109.943198
60000017,236,0,Santa Clara,completed,,stop,1785997109.80039,1785997109.8026612,1785997109.9068897
60000018,237,0,Levi's Stadium,completed,,stop,1785997109.8018277,1785997109.803853,1785997109.9764616
60000019,237,0,24-10,completed,,stop,1785997109.8032744,1785997109.8056448,1785997109.9797819
60000020,240,0,"February 7, 2016",completed,,stop,1785997109.804724,1785997109.8070226,1785997110.0498087
60000021,233,0,2016,completed,,stop,1785997109.806232,1785997109.8083262,1785997109.9484286
60000022,234,0,Denver Broncos,completed,,stop,1785997109.8077042,1785997109.8097138,1785997109.922074
60000023,234,0,Carolina Panthers,completed,,stop,1785997109.809178,1785997109.810946,1785997109.944869
60000024,231,0,Denver Broncos,completed,,stop,1785997109.8106022,1785997109.8123384,1785997109.9187303
60000025,240,0,2015,completed,,stop,1785997109.8120492,1785997109.813802,1785997109.951777
