doc_id,prompt_tokens,output_tokens,output_text,status,error_type,finish_reason,submit_epoch_s,service_start_epoch_s,completion_epoch_s
60000000,239,0,Denver Broncos,completed,,stop,1785997078.8503268,1785997078.855688,1785997078.9472308
60000001,239,0,Carolina Panthers,completed,,stop,1785997078.8525808,1785997078.8571305,1785997078.9695933
60000002,235,0,"Santa Clara, California",completed,,stop,1785997078.8541956,1785997078.858016,1785997079.0113869
60000003,234,0,Denver Broncos,completed,,stop,1785997078.8557746,1785997078.858889,1785997078.9786625
60000004,244,0,gold,completed,,stop,1785997078.857294,1785997078.8611398,1785997078.9491293
60000005,235,0,golden anniversary,completed,,stop,1785997078.8587592,1785997078.8620737,1785997078.9715242
60000006,234,0,February 7,completed,,stop,1785997078.8602142,1785997078.863588,1785997078.991772
60000007,232,0,American Football Conference,completed,,stop,1785997078.8616638,1785997078.8656492,1785997078.9935641
60000008,235,0,golden anniversary,completed,,stop,1785997078.8631294,1785997078.866349,1785997078.9650388
60000009,232,0,American Football Conference,completed,,stop,1785997078.8645825,1785997078.8684082,1785997079.0039454
60000010,235,0,February 7,completed,,stop,1785997078.8660297,1785997078.869083,1785997078.9952579
60000011,231,0,Denver Broncos,completed,,stop,1785997078.8674912,1785997078.8706279,1785997078.9751804
60000012,237,0,Levi's Stadium,completed,,stop,1785997078.8689084,1785997078.872534,1785997079.0131154
60000013,236,0,Santa Clara,completed,,stop,1785997078.8703346,1785997078.8734117,1785997078.9733596
60000014,244,0,Super Bowl L,completed,,stop,1785997078.8718824,1785997078.8742187,1785997078.9900346
60000015,240,0,2015,completed,,stop,1785997078.873407,1785997078.8760548,1785997079.00965
60000016,245,0,2015,completed,,stop,1785997078.8749244,1785997078.877308,1785997079.0646586
60000017,236,0,Santa Clara,completed,,stop,1785997078.8764544,1785997078.878095,1785997078.9769363
60000018,237,0,Levi's Stadium,completed,,stop,1785997078.8779006,1785997078.879982,1785997079.0264108
60000019,237,0,24-10,completed,,stop,1785997078.8793423,1785997078.8809876,1785997079.1055818
60000020,240,0,"February 7, 2016",completed,,stop,1785997078.8808267,1785997078.8823617,1785997079.1354275
60000021,233,0,2016,completed,,stop,1785997078.8822865,1785997078.8838754,1785997079.0148091
60000022,234,0,Denver Broncos,completed,,stop,1785997078.8837757,1785997078.88566,1785997079.0022302
60000023,234,0,Carolina Panthers,completed,,stop,1785997078.8852274,1785997078.8871331,1785997079.0682204
