doc_id,text_sha256,prompt_tokens,tenant_id,category
60000000,f1b244cbf6f1fb574f694406bbeabd0607b2c20acad9bf83d68f125f4e0a44bd,239,0,squad
60000001,6a4b10933b44e624536b2957d5835a6c79288389c6c21d541b09419e9b2c2ae4,239,0,squad
60000002,94ef5e66a3c23822bf0bc4c7bf7a1ffb5482bdd66abcc6bd88d1cf53ffcf779d,235,0,squad
60000003,45e5c99d853fac7fe65411f881aa09ab853fb5b1341ac5d27a77085635b86d8c,234,0,squad
60000004,90cb3103f2af3d81a9b1738e4269b4c3e9a0460b22da16f69c7b6fb29a31b6f2,244,0,squad
60000005,20bc30bb0e377aef2509300d5bef04940bf46780a08bac39e79d9c634dc71a85,235,0,squad
60000006,589a38b3f1c7767c735494df0c6cff9ba86bf7d2776d9a59ad52d7a1d21181de,234,0,squad
60000007,dd230638dc7a715413c2b66c3250be96500b8023d0af9aab9e15beb2b9be59b1,232,0,squad
60000008,20bc30bb0e377aef2509300d5bef04940bf46780a08bac39e79d9c634dc71a85,235,0,squad
60000009,af4d36a1c4a057e60c6d808b8870e0e130ac78a73348d61818b26441894b089c,232,0,squad
60000010,4011ecec6250209e361f3c507c36eaa756061e612cd6483c7b5f48b086a4fac6,235,0,squad
60000011,12ef05dedeb8c4e872a4989048bf368fe8ef503c4f7a4bf8478377eb7619a6ff,231,0,squad
60000012,7c7163ed10014c15b81ccf10b865a51b6024e945dac3a28967b3788e3bbbf66a,237,0,squad
60000013,fc528ac711863d2516485732b4c692a44b17aa92d527a692c6c28b15d0b5571b,236,0,squad
60000014,8600b64b5291cefca78496598b28cf56ae4662b7d4aff6ed0d28eb147b98de7f,244,0,squad
60000015,a3565cddf1a854ad55dcde94b57f595ad2275c2dd33ab2f4f8f9cf61824eb599,240,0,squad
60000016,807218f07130bcee3fbe63d0639ac9367a02e35413e13062747e00c097f4bf38,245,0,squad
60000017,fc528ac711863d2516485732b4c692a44b17aa92d527a692c6c28b15d0b5571b,236,0,squad
60000018,f3ff6945ae8008f02ec0589a4b2b10e01801a91ba4d3ca30b2bc39b69c900b48,237,0,squad
60000019,f52f72b84fcd01b99c303e0ae0fa53ea809566e9ab9348bd72b497284475452f,237,0,squad
60000020,79af95ea1016d81605f6b9150746c9f1ed6f44f83a05a5efc6d2764555663dd7,240,0,squad
60000021,c0c16f4c43aa09ba44451c4aef9d796cda3843cbada8449a1d8f6a33a08bb1e4,233,0,squad
60000022,3e0c1c84c1a46a95169f7426ed17eaa91189d21bec8dfaa2c3670f67839cff5e,234,0,squad
60000023,51598aa38149545e2661566f48cf7bd3fce31b8abb5777e74529bad6bc57ce2c,234,0,squad
60000024,12ef05dedeb8c4e872a4989048bf368fe8ef503c4f7a4bf8478377eb7619a6ff,231,0,squad
60000025,2367a85a003e85a8f61c4429f9fc140c100612daf2b35b0af2d155400908ed30,240,0,squad
60000026,e28f6d77b2fd80a61c8b87bc2e770ba45a2cee51ecedb28e824f2aa2252b7ea8,233,0,squad
60000027,e62b41a0d17491acd72933f1a9cfd4530a3c849c44dd0e8361253be9c10bc8ca,233,0,squad
60000028,528beab7d8c851e272eadc47b794819a1f147870fb839b93dc26d1bbb901a402,236,0,squad
60000029,3d0f473887cfedb11bcca89f3bd88abf79a929d06b06d47d942d6ad58bb9005a,236,0,squad
60000030,4ea251319079bc1dc588c8d2448d0e0f6c5f9b81a29f2c370effc6eafe8eb1cf,207,0,squad
60000031,6517b05da5deedaf31f90c74c7ab892f3dbcc62aabfe4887bf48ce92f59c838b,208,0,squad
60000032,5073243127ae1633e8654a28873ac33b787374dc21a9b185aba187a80b5bef39,205,0,squad
60000033,47369639a10679bad942c9af738ec17563e7d37113b6dddb04a6db190b5d1f2c,200,0,squad
60000034,bb59fdcb0c49002cd6678144a32d661adb4943149a7c7ba7178d4b3f2aef12f7,206,0,squad
60000035,547346d162436a06ab888dc2964f49e6477bbf115525040b829d0715bec0934b,205,0,squad
60000036,d32d0f0db77de87b74ec4e3514798ae04e36f71a781eee4072a6d464dbdd980c,203,0,squad
60000037,38479c5ca9e496be2a3742262dea8dcff1bb3dc5d3af5690fe493c5e620f58cc,202,0,squad
60000038,497a4cbf23175e13f6b25cc51feff8869206f1aff117a2e29e0c227e8c92bba0,205,0,squad
60000039,5aa4dbcaa79f67c987d99f9f926be69a77ed00c8ffccfbc446cbd33ccca526a1,199,0,squad
60000040,64bf8f5e597e5ac43867ccc9cc424970babbc4525bfc93a0c2e86a34a3a65d2e,214,0,squad
60000041,46058123454599b50d3d958bcaf4b22a7f8cd0fa1bda8366555d3a044d783c8a,210,0,squad
60000042,a32dd023505c598654d5fe470a48ba5a812bd1d8479c7de534a516d73a9ecd01,212,0,squad
60000043,fb0e48f13ba8fc71bc11579aa6054c9ff9f8f1e171c6da148217725eedef7d1f,206,0,squad
60000044,1fcb6ba7053644fe03be35b72bdea77c4a805ec6d96a4f60e4c7f6d4adf975e6,213,0,squad
60000045,fa9f89f7a1890e785646fa9b8d9238498420da0e137e8a4bac4c76d59602a3c3,201,0,squad
60000046,b190fa3551afe0bcb2fae00c8c520313661b5d9bd11cd20c331e6d338a4a5c2c,204,0,squad
60000047,0eb68273b3de4a6bdd6317e340e4d07f6cf95b28fdaa6a4dea70c304ce3a0c2d,205,0,squad
60000048,c255ff72ec20b6e406cca2957a57e78b9d676b8a945fbe58cb399c0f0224c8ba,202,0,squad
60000049,1d560c2ea38dd4846659061cd10afdc45dca6d46c7645d2452abd8bdbb55ceca,206,0,squad
60000050,b677ba9e91d489a9fb39a57c8ca1a311ebfc1d40dadb8d5e28d074800c45a164,205,0,squad
60000051,5ca7af1d6c30c6d18dfe21ce64021c18d850c1dc161f57d682ed5389da7d20e9,209,0,squad
60000052,b60eb0f7ce92054756ae4cd29e2034ad5f012da0ab6e1fbf6c7e40cc7651c464,198,0,squad
60000053,3b5d4e7c6ef68187bc3667a39578219071b6369c060a753910662bee7ae035bc,204,0,squad
