system_run,input_visibility,timer_id,mean_s,formal_repeats,cross_system_rankability,boundary_note
project_arrival_replay_single_short,request_level_replay_66.875s_span,T0_full_pipeline_wall,79.39437133333334,3,no,Project profiler includes source and actor-ready; stages overlap
project_arrival_replay_single_short,request_level_replay_66.875s_span,T1_offered_work_jct,71.24158318837483,3,no,valid only against another run with the identical replay trace
project_all_at_t0_single_short,all_512_requests_visible_zero_arrival_span,T0_full_pipeline_wall,14.957116000000001,3,no,Daft matching outer timer was not collected
project_all_at_t0_single_short,all_512_requests_visible_zero_arrival_span,T1_offered_work_jct,14.776161114374796,3,no,Project visibility precedes source/organizer work that Daft completed before collect
project_all_at_t0_single_short,all_512_requests_visible_zero_arrival_span,T2_framework_execute_wall,11.358616,3,diagnostic_only,"closest Project framework span, but not identical to Daft collect ownership"
project_all_at_t0_single_short,all_512_requests_visible_zero_arrival_span,T3_model_request_window,11.353823184967041,3,comparable_short_job_diagnostic,earliest submit to latest completion from request trace
project_all_at_t0_single_short,all_512_requests_visible_zero_arrival_span,T4_vllm_request_service_mean,4.651591,3,comparable_short_job_diagnostic,same vLLM counter family
daft_native_single_short,full_manifest_before_collect,T0_full_pipeline_wall,,0,unavailable,manifest/provider/DataFrame/expression preparation was outside timer
daft_native_single_short,full_manifest_before_collect,T2_framework_execute_wall,11.059022267659506,3,diagnostic_only,collect request window after graph preparation
daft_native_single_short,full_manifest_before_collect,T3_model_request_window,11.059022267659506,3,comparable_short_job_diagnostic,earliest shard submit to latest shard completion
daft_native_single_short,full_manifest_before_collect,T4_vllm_request_service_mean,6.654045518487692,3,comparable_short_job_diagnostic,same vLLM counter family
